ensembl_gene_id,gene_biotype,gene
ENSG00000023318,protein_coding,ERP44
ENSG00000023330,protein_coding,ALAS1
ENSG00000023445,protein_coding,BIRC3
ENSG00000023516,protein_coding,AKAP11
ENSG00000023572,protein_coding,GLRX2
ENSG00000023608,protein_coding,SNAPC1
ENSG00000023697,protein_coding,DERA
ENSG00000023734,protein_coding,STRAP
ENSG00000023892,protein_coding,DEF6
ENSG00000023902,protein_coding,PLEKHO1
ENSG00000023909,protein_coding,GCLM
ENSG00000024048,protein_coding,UBR2
ENSG00000024422,protein_coding,EHD2
ENSG00000024862,protein_coding,CCDC28A
ENSG00000025039,protein_coding,RRAGD
ENSG00000025156,protein_coding,HSF2
ENSG00000025293,protein_coding,PHF20
ENSG00000025423,protein_coding,HSD17B6
ENSG00000025434,protein_coding,NR1H3
ENSG00000025708,protein_coding,TYMP
ENSG00000025770,protein_coding,NCAPH2
ENSG00000025772,protein_coding,TOMM34
ENSG00000025796,protein_coding,SEC63
ENSG00000025800,protein_coding,KPNA6
ENSG00000026025,protein_coding,VIM
ENSG00000026103,protein_coding,FAS
ENSG00000026508,protein_coding,CD44
ENSG00000026559,protein_coding,KCNG1
ENSG00000026652,protein_coding,AGPAT4
ENSG00000026950,protein_coding,BTN3A1
ENSG00000027001,protein_coding,MIPEP
ENSG00000027075,protein_coding,PRKCH
ENSG00000027697,protein_coding,IFNGR1
ENSG00000027847,protein_coding,B4GALT7
ENSG00000027869,protein_coding,SH2D2A
ENSG00000028116,protein_coding,VRK2
ENSG00000028137,protein_coding,TNFRSF1B
ENSG00000028203,protein_coding,VEZT
ENSG00000028277,protein_coding,POU2F2
ENSG00000028310,protein_coding,BRD9
ENSG00000028528,protein_coding,SNX1
ENSG00000028839,protein_coding,TBPL1
ENSG00000029153,protein_coding,ARNTL2
ENSG00000029363,protein_coding,BCLAF1
ENSG00000029364,protein_coding,SLC39A9
ENSG00000029534,protein_coding,ANK1
ENSG00000029639,protein_coding,TFB1M
ENSG00000029725,protein_coding,RABEP1
ENSG00000029993,protein_coding,HMGB3
ENSG00000030066,protein_coding,NUP160
ENSG00000030110,protein_coding,BAK1
ENSG00000030304,protein_coding,MUSK
ENSG00000030419,protein_coding,IKZF2
ENSG00000030582,protein_coding,GRN
ENSG00000031003,protein_coding,FAM13B
ENSG00000031081,protein_coding,ARHGAP31
ENSG00000031691,protein_coding,CENPQ
ENSG00000031698,protein_coding,SARS
ENSG00000031823,protein_coding,RANBP3
ENSG00000032219,protein_coding,ARID4A
ENSG00000032389,protein_coding,EIPR1
ENSG00000032444,protein_coding,PNPLA6
ENSG00000032742,protein_coding,IFT88
ENSG00000033011,protein_coding,ALG1
ENSG00000033030,protein_coding,ZCCHC8
ENSG00000033050,protein_coding,ABCF2
ENSG00000033100,protein_coding,CHPF2
ENSG00000033122,protein_coding,LRRC7
ENSG00000033170,protein_coding,FUT8
ENSG00000033178,protein_coding,UBA6
ENSG00000033327,protein_coding,GAB2
ENSG00000033627,protein_coding,ATP6V0A1
ENSG00000033800,protein_coding,PIAS1
ENSG00000033867,protein_coding,SLC4A7
ENSG00000034053,protein_coding,APBA2
ENSG00000034152,protein_coding,MAP2K3
ENSG00000034239,protein_coding,EFCAB1
ENSG00000034510,protein_coding,TMSB10
ENSG00000034533,protein_coding,ASTE1
ENSG00000034677,protein_coding,RNF19A
ENSG00000034693,protein_coding,PEX3
ENSG00000034713,protein_coding,GABARAPL2
ENSG00000035115,protein_coding,SH3YL1
ENSG00000035141,protein_coding,FAM136A
ENSG00000035403,protein_coding,VCL
ENSG00000035499,protein_coding,DEPDC1B
ENSG00000035664,protein_coding,DAPK2
ENSG00000035681,protein_coding,NSMAF
ENSG00000035687,protein_coding,ADSS
ENSG00000035862,protein_coding,TIMP2
ENSG00000035928,protein_coding,RFC1
ENSG00000036054,protein_coding,TBC1D23
ENSG00000036257,protein_coding,CUL3
ENSG00000036448,protein_coding,MYOM2
ENSG00000036530,protein_coding,CYP46A1
ENSG00000036549,protein_coding,AC118549.1
ENSG00000036672,protein_coding,USP2
ENSG00000037042,protein_coding,TUBG2
ENSG00000037241,protein_coding,RPL26L1
ENSG00000037474,protein_coding,NSUN2
ENSG00000037637,protein_coding,FBXO42
ENSG00000037749,protein_coding,MFAP3
ENSG00000037757,protein_coding,MRI1
ENSG00000038002,protein_coding,AGA
ENSG00000038210,protein_coding,PI4K2B
ENSG00000038219,protein_coding,BOD1L1
ENSG00000038274,protein_coding,MAT2B
ENSG00000038295,protein_coding,TLL1
ENSG00000038382,protein_coding,TRIO
ENSG00000038427,protein_coding,VCAN
ENSG00000038532,protein_coding,CLEC16A
ENSG00000038945,protein_coding,MSR1
ENSG00000039068,protein_coding,CDH1
ENSG00000039123,protein_coding,MTREX
ENSG00000039139,protein_coding,DNAH5
ENSG00000039319,protein_coding,ZFYVE16
ENSG00000039523,protein_coding,RIPOR1
ENSG00000039537,protein_coding,C6
ENSG00000039560,protein_coding,RAI14
ENSG00000039650,protein_coding,PNKP
ENSG00000040199,protein_coding,PHLPP2
ENSG00000040275,protein_coding,SPDL1
ENSG00000040341,protein_coding,STAU2
ENSG00000040487,protein_coding,SLC66A1
ENSG00000040531,protein_coding,CTNS
ENSG00000040608,protein_coding,RTN4R
ENSG00000040633,protein_coding,PHF23
ENSG00000040731,protein_coding,CDH10
ENSG00000040933,protein_coding,INPP4A
ENSG00000041353,protein_coding,RAB27B
ENSG00000041357,protein_coding,PSMA4
ENSG00000041515,protein_coding,MYO16
ENSG00000041802,protein_coding,LSG1
ENSG00000041880,protein_coding,PARP3
ENSG00000041982,protein_coding,TNC
ENSG00000041988,protein_coding,THAP3
ENSG00000042062,protein_coding,RIPOR3
ENSG00000042088,protein_coding,TDP1
