"geneSet","description","NES","FDR","Function","Datatype"
"GO:0070661","leukocyte proliferation",-1.31248504618086,0.205594986673584,"GO","FP_CTCDT"
"GO:0035988","chondrocyte proliferation",1.33334816491085,0.20566682051217,"GO","FP_CTCDT"
"GO:0061383","trabecula morphogenesis",1.33644018985698,0.205810560401291,"GO","FP_CTCDT"
"GO:0002009","morphogenesis of an epithelium",1.33779201656462,0.206311835021121,"GO","FP_CTCDT"
"GO:0048863","stem cell differentiation",1.32782694613983,0.206522694677204,"GO","FP_CTCDT"
"GO:0006081","cellular aldehyde metabolic process",-1.30594526875873,0.210859986708065,"GO","FP_CTCDT"
"GO:1901654","response to ketone",-1.30504499202729,0.211318619140544,"GO","FP_CTCDT"
"GO:0071402","cellular response to lipoprotein particle stimulus",-1.30303754666325,0.212385809588398,"GO","FP_CTCDT"
"GO:0045229","external encapsulating structure organization",-1.30326004938996,0.213165497859526,"GO","FP_CTCDT"
"GO:0106030","neuron projection fasciculation",1.3161349217969,0.213694778547492,"GO","FP_CTCDT"
"GO:0043588","skin development",1.31711155189583,0.214492966987096,"GO","FP_CTCDT"
"GO:0031016","pancreas development",1.3184675133079,0.214736785997718,"GO","FP_CTCDT"
"GO:0060485","mesenchyme development",1.3195441903367,0.215382395496344,"GO","FP_CTCDT"
"GO:0070585","protein localization to mitochondrion",-1.29869576058814,0.216440789456034,"GO","FP_CTCDT"
"GO:0007204","positive regulation of cytosolic calcium ion concentration",-1.29717234043682,0.217573234231131,"GO","FP_CTCDT"
"GO:0017145","stem cell division",1.30544258873019,0.220349486410703,"GO","FP_CTCDT"
"GO:0060348","bone development",1.30666737536744,0.223027090864859,"GO","FP_CTCDT"
"GO:0007389","pattern specification process",1.30180310005681,0.223561137586715,"GO","FP_CTCDT"
"GO:0016485","protein processing",-1.28983210617516,0.227680879289905,"GO","FP_CTCDT"
"GO:0042180","cellular ketone metabolic process",-1.28386624204226,0.234880106261108,"GO","FP_CTCDT"
"GO:0043062","extracellular structure organization",-1.28388387068063,0.236029299773344,"GO","FP_CTCDT"
"GO:0032615","interleukin-12 production",-1.27814666386603,0.241590906397832,"GO","FP_CTCDT"
"GO:1903008","organelle disassembly",-1.27686100492914,0.242592126742816,"GO","FP_CTCDT"
"GO:1901616","organic hydroxy compound catabolic process",-1.27596986331273,0.242915917764941,"GO","FP_CTCDT"
"GO:0035265","organ growth",1.28615849804447,0.245231539792152,"GO","FP_CTCDT"
"GO:0002832","negative regulation of response to biotic stimulus",1.27657197935819,0.250991871560389,"GO","FP_CTCDT"
"GO:0010721","negative regulation of cell development",1.2751158699483,0.251327950751941,"GO","FP_CTCDT"
"GO:0032606","type I interferon production",1.27723145154672,0.252339613029461,"GO","FP_CTCDT"
"GO:0072337","modified amino acid transport",1.27798766471646,0.253608161943831,"GO","FP_CTCDT"
"GO:0048706","embryonic skeletal system development",1.26648981763363,0.259195679134291,"GO","FP_CTCDT"
"GO:0042063","gliogenesis",1.26795972980138,0.261152569507378,"GO","FP_CTCDT"
"GO:0098727","maintenance of cell number",1.26654067184218,0.261383429016876,"GO","FP_CTCDT"
"GO:0042476","odontogenesis",1.25947595218916,0.261772376052718,"GO","FP_CTCDT"
"GO:0072001","renal system development",1.2612769312556,0.2630406782204,"GO","FP_CTCDT"
"GO:0033687","osteoblast proliferation",1.25509442052075,0.264368656046838,"GO","FP_CTCDT"
"GO:0140546","defense response to symbiont",1.25374491408176,0.26455835325865,"GO","FP_CTCDT"
"GO:0010876","lipid localization",-1.25714180246708,0.265023476227624,"GO","FP_CTCDT"
"GO:0030856","regulation of epithelial cell differentiation",-1.25502574656303,0.267661332811306,"GO","FP_CTCDT"
"GO:0018212","peptidyl-tyrosine modification",-1.25362582871564,0.269001703434644,"GO","FP_CTCDT"
"GO:0016358","dendrite development",1.24888104681907,0.270162134114368,"GO","FP_CTCDT"
"GO:0001701","in utero embryonic development",-1.25155950967099,0.271497797946269,"GO","FP_CTCDT"
"GO:0010463","mesenchymal cell proliferation",1.24645771617526,0.271721944305157,"GO","FP_CTCDT"
"GO:0002437","inflammatory response to antigenic stimulus",-1.24657208744855,0.275588593944443,"GO","FP_CTCDT"
"GO:0060976","coronary vasculature development",1.23964986483376,0.280831261881354,"GO","FP_CTCDT"
"GO:0042430","indole-containing compound metabolic process",1.23585402201305,0.285296333473037,"GO","FP_CTCDT"
"GO:0003014","renal system process",-1.23843385565024,0.287964818474766,"GO","FP_CTCDT"
"GO:0097035","regulation of membrane lipid distribution",1.23213080328115,0.289364884926542,"GO","FP_CTCDT"
"GO:0023061","signal release",-1.22924661853003,0.304251525596965,"GO","FP_CTCDT"
"GO:0071706","tumor necrosis factor superfamily cytokine production",-1.22817442841447,0.304981105807714,"GO","FP_CTCDT"
"GO:0048771","tissue remodeling",-1.22638768559699,0.305689730691754,"GO","FP_CTCDT"
"GO:0033622","integrin activation",-1.22646479082371,0.306912285928427,"GO","FP_CTCDT"
"GO:0002251","organ or tissue specific immune response",1.22105025601701,0.307920977630627,"GO","FP_CTCDT"
"GO:0061448","connective tissue development",-1.22142724351748,0.310116872412422,"GO","FP_CTCDT"
"GO:0035148","tube formation",1.21465729381195,0.31095309234064,"GO","FP_CTCDT"
"GO:0070849","response to epidermal growth factor",1.21531662474236,0.311926171651646,"GO","FP_CTCDT"
